Sluisnaam;lng;lat;Beheerder
sluis Nr. 2 (Middenverlaat);6.960199928217714;53.072699991577565;WS Hunze en Aa's
Grote Sluis Harlingen;5.419799938896221;53.17569999621059;Gemeente Harlingen
Overlekersluis;5.094699937233562;52.769099999740135;HHRS Hoogheemraadschap Hollands Noorderkwartier
sluis Hansweert;4.010199934418992;51.45560001073516;RWS Zee en Delta
Kloosterdijksluis;5.0320999351510025;52.463700001823575;HHRS Hoogheemraadschap Hollands Noorderkwartier
Willem I-sluis;4.908099935274423;52.383900002676555;Provincie Noord-Holland
Marknessersluis;5.8625999320526185;52.70659999774935;Provincie Flevoland
Roggenkampsluis;6.916599930972137;53.3213999900389;Gemeente Delfzijl
Eextersluis;6.970399929140363;53.173799990845474;Provincie Groningen
Ziendesluis;4.741799934260986;52.10910000485319;HHRS van Rijnland
Bourtangersluis;7.1571999262483095;53.00779999132604;WS Hunze en Aa's
sluis Weerwater (Tussensluis);5.243199932999727;52.34970000194154;Gemeente Almere
sluis II, Nijeberkoop;6.150999932576784;52.97219999505718;Provincie Friesland
Nijkerkersluis;5.472099930917027;52.26200000185675;RWS Midden-Nederland
sluis 16;5.668099922726352;51.24530000840535;RWS Zuid-Nederland
Naviduct Krabbersgat;5.295399935403599;52.690599999610015;RWS Midden-Nederland
Ketelsluis;5.758099931640322;52.579099998917656;Provincie Flevoland
Lorentzsluizen;5.33729993841022;53.06919999712979;RWS Midden-Nederland
Sellingersluis;7.163699925592343;52.94459999175138;WS Hunze en Aa's
1e Verlaat;6.892999928210535;53.024999992146235;WS Hunze en Aa's
Zeesluis Farmsum;6.9398999308095854;53.319899989962266;RWS NN
sluis Roodevaart;4.613999932227387;51.68850000787285;WS Brabantse Delta
Haukessluis;4.932299939134197;52.883399999536174;HHRS Hoogheemraadschap Hollands Noorderkwartier
Muntsluis;5.089499932033868;52.09020000404793;RWS Midden-Nederland
Participantenverlaat (Middenverlaat);6.872199929019378;53.09419999174911;WS Hunze en Aa's
Prinses Irenesluis;5.319799929727907;51.9675000042391;RWS Midden-Nederland
Tolhuissluis;4.7351999349942675;52.20710000426056;Provincie Noord-Holland
Lemstersluis;5.710399934173907;52.84229999735137;Gemeente Lemsterland
Prinses Margrietsluis;5.676399934461465;52.851399997405245;RWS NN
Verlaat Nr. IV;6.161499933057026;53.030799994643374;Provincie Friesland
sluis Kuinre;5.84059993288715;52.78679999729201;Provincie Overijssel
sluis Nigtevecht;5.022799933782293;52.27480000304733;HHRS Amstel, Gooi en Vecht
sluis 't Hemeltje;5.047899933394235;52.24340000317774;Gemeente Hilversum
Zuidersluis Nieuwegein;5.103199931620904;52.0458000043009;RWS Midden-Nederland
Ottersluis;4.762499931991001;51.79270000683603;RWS West-Nederland Zuid
Keetpoortsluis;5.0670999339010505;52.32720000258576;HHRS Amstel, Gooi en Vecht
Hartelsluis;4.309999935153642;51.86670000747306;HBDR Rotterdam nv
Proostdijersluis;4.9508999340578095;52.25460000336994;HHRS Amstel, Gooi en Vecht
Dieversluis;6.339499930210513;52.84449999527505;Provincie Drenthe
sluis Breukelen;4.995799933176447;52.171000003777905;Gemeente Gemeente Stichtse Vecht
Houtribsluizen;5.434399933237556;52.527700000231164;RWS Midden-Nederland
Paradijssluis;6.193299930046134;52.71809999661413;Provincie Drenthe
sluis Blokzijl;5.960599931610931;52.726199997305486;Provincie Overijssel
Weersluis;5.008299933208428;52.18530000365512;WS Plassenschap Loosdrecht en omstreken
sluis Aadorp;6.63259992416773;52.373099997598864;Provincie Overijssel
Wilhelminaverlaat;6.8847999290000885;53.101399991647554;WS Hunze en Aa's
Zuidveldsluis;7.144799925552104;52.927399991940185;WS Hunze en Aa's
Westerhavensluis Medemblik;5.102899937188516;52.76889999971574; Stadshavens Medemblik BV
Groenesluis;7.1603999269627;53.08459999077702;WS Hunze en Aa's
Goesche Sas;3.9252999353704805;51.53750001040739;Gemeente Goes
sluis St. Andries;5.357799928304857;51.797900005290074;RWS Zuid-Nederland
Kooysluis;4.799899940120234;52.913299999764796;Provincie Noord-Holland
Algerasluis;4.578599933912507;51.91730000649103;RWS West-Nederland Zuid
Wollinghuizersluis;7.163099926016234;52.98819999144917;WS Hunze en Aa's
Abelstoksluis;6.4503999343135625;53.35169999153428;WS Noorderzijlvest
sluis Vechterweerd;6.212899928215723;52.51859999790759;WS Waterschap Drents Overijsselse Delta
Voornse sluis;4.326699935037289;51.86360000745554;WS Hollandse Delta
Grote Kolksluis;6.0719999301544165;52.63959999752816;RWS Oost-Nederland
5e Verlaat of 2e Musselverlaat;7.004599926627842;52.93739999236918;WS Hunze en Aa's
Meppelerdiepsluis;6.078199930089821;52.63789999751595;RWS Oost-Nederland
